PLAYER_NAME,SEASON,TEAM_ABBREVIATION,POSITION,PROFILE_GROUP,AGE,PTS,REB,AST,TS_PCT,USG_PCT,SCORING_PCTL,SHOOTING_PCTL,PLAYMAKING_PCTL,REBOUNDING_PCTL,DEFENSE_PCTL,EFFICIENCY_PCTL,RIM_PRESSURE_PCTL,CREATION_PCTL,ARCHETYPE
Vince Williams Jr.,2023-24,MEM,Guard/Wing,Guard/Wing,23.0,17.6,9.8,5.9,0.597,0.155,31.434438697900823,74.28252712706622,61.90295101916641,86.39336781259507,18.09400669303316,89.23030118649224,38.2897272081939,42.29920900517189,Guard/Wing
Vít Krejčí,2023-24,ATL,Guard/Wing,Guard/Wing,24.0,12.2,4.7,4.5,0.633,0.098,4.951323395193185,79.89554811885205,38.81198661393368,20.29205962884089,2.1067843017949497,97.8627928202008,31.903458067133155,19.839519318527536,Guard/Wing
Walker Kessler,2023-24,UTA,Big,Big,22.0,16.5,15.4,1.9,0.663,0.127,28.432185815014517,74.87211392230056,27.457486520116138,74.67855661551224,58.4653670676068,95.64496059726255,45.87308170883451,19.84653670676068,Big
Wendell Carter Jr.,2023-24,ORL,Big,Big,25.0,21.1,13.3,3.3,0.623,0.172,58.85524678556615,90.81985344946771,65.67814184985482,60.03732890916632,32.64620489423476,88.22065532973869,55.96571270565463,54.84238905018664,Big
Xavier Tillman,2023-24,BOS,Big,Big,25.0,14.1,10.5,3.8,0.472,0.146,14.765657403566983,52.70288953407992,74.5126503525508,8.79303193695562,30.714433844877647,6.221484861053505,16.085994746301676,49.56449605972625,Big
Zach Collins,2023-24,SAS,Big,Big,26.0,23.9,11.4,6.0,0.565,0.224,73.49647449191207,76.83533803401079,95.81086686022398,18.042306097055164,21.042098714226462,59.97511406055579,62.975252315774924,86.71712982165077,Big
Zach LaVine,2023-24,CHI,Guard/Wing,Guard/Wing,29.0,27.4,7.2,5.5,0.578,0.238,86.60632795862489,71.80052732988541,60.48828719196836,60.85336172801947,5.54456951627624,80.01977487070276,78.39722137714227,71.34545177973837,Guard/Wing
Ziaire Williams,2023-24,MEM,Guard/Wing,Guard/Wing,22.0,19.5,8.3,3.5,0.511,0.192,45.269242470337694,43.778521448129,40.85792515972011,72.44447824764222,13.948889564952843,26.680864009735323,37.86887739580164,47.05278369333739,Guard/Wing
Zion Williamson,2023-24,NOP,Guard/Wing,Guard/Wing,23.0,34.3,8.7,7.5,0.61,0.285,97.11743230909644,45.06642328364263,80.78795254031031,80.67386674779435,17.181320352905384,93.5807727411013,97.26194097961668,88.05521752357774,Guard/Wing
AJ Griffin,2022-23,ATL,Guard/Wing,Guard/Wing,19.0,21.3,5.1,2.4,0.577,0.174,58.031639793124434,79.6673765338201,10.883784606023731,27.89017341040462,15.47763918466687,79.41892303011865,57.42571747287294,24.14435655613021,Guard/Wing
Aaron Gordon,2022-23,DEN,Guard/Wing,Guard/Wing,27.0,25.9,10.4,4.7,0.617,0.206,81.9135990264679,55.87668593448941,45.208396714329176,94.36416184971098,20.162762397322787,95.44417401886218,81.53331305141467,54.35807727411013,Guard/Wing
Aaron Nesmith,2022-23,IND,Guard/Wing,Guard/Wing,23.0,19.1,7.2,2.5,0.566,0.168,42.47033769394585,69.53148767873442,12.686340127776088,66.07849102525098,1.3842409491937937,72.21630666261028,38.68268938241558,22.665044113173103,Guard/Wing
